Delta,Theta,Alpha1,Alpha2,Beta1,Beta2,Gamma1,Gamma2,Person
57060,80815,67429,14371,8580,4449,2998,5452,Junaid
37998,9989,30998,4318,7433,6412,2461,2685,Junaid
22299,23920,19117,1694,5136,9717,2250,592,Junaid
12216,46213,12334,10932,2820,6831,1289,1716,Junaid
49431,26011,76365,14717,6259,4003,1585,1643,Junaid
34864,5512,10349,6844,4741,6699,4481,1144,Junaid
1.53E+05,1.14E+05,37882,7856,8978,6735,3341,2121,Junaid
1.98E+05,50980,4126,8124,1991,2061,744,542,Junaid
1.66E+06,5.02E+05,23761,32475,28635,9656,7766,2180,Junaid
1.10E+06,1.16E+05,7672,58671,19641,8155,1960,2246,Junaid
1.22E+05,12269,3135,2118,1698,415,149,97,Junaid
2.15E+06,74068,50809,40441,21150,24407,3622,7124,Junaid
1.95E+06,1.81E+05,2.84E+05,1.17E+05,34071,44073,15348,29172,Junaid
7.31E+05,16796,20919,17331,8915,6188,2363,634,Junaid
1.03E+06,29213,5138,1460,16671,13871,10285,4616,Junaid
6.28E+05,54035,15646,23312,22502,58840,38507,5668,Junaid
1.73E+05,1.45E+05,1.13E+05,16236,24797,1.37E+05,17951,6669,Junaid
1.46E+06,5.29E+05,3.44E+05,66236,1.06E+05,2.54E+05,68101,54654,Junaid
1.60E+06,6.83E+05,1.55E+05,2.30E+05,1.72E+05,1.77E+05,1.43E+05,22140,Junaid
1.42E+06,86085,4200,79823,30848,42399,16101,2168,Junaid
4.40E+05,1.54E+05,53802,1.51E+05,90801,62328,21696,15494,Junaid
1.55E+06,40342,1.39E+05,1.16E+05,1.39E+05,88849,26671,6294,Junaid
5.40E+05,84740,1.39E+05,1.87E+05,42931,18874,17235,12841,Junaid
78876,25821,2411,5422,3106,5466,2277,959,Junaid
1.21E+06,4.76E+05,45509,87657,44937,72156,41989,36100,Junaid
5.24E+05,52571,19075,8102,22690,11123,6909,1523,Junaid
1.48E+06,63808,13134,14883,14797,6359,5398,4500,Junaid
2.36E+05,35944,4930,2323,1515,671,309,198,Junaid
1.12E+06,67981,17038,32519,52589,81289,1.25E+05,86300,Junaid
1.10E+06,2.46E+05,53334,28868,25076,10726,14967,7560,Junaid
1.04E+06,84098,23393,65769,37125,17694,4477,2725,Junaid
7.18E+05,62747,44907,21070,8598,4566,2576,734,Junaid
1.42E+05,1.09E+05,11340,17706,8675,9033,3858,1995,Junaid
2.77E+05,1.22E+05,14142,5057,2739,1852,763,828,Junaid
1.52E+05,86682,52933,10445,4233,16933,1513,1342,Junaid
5.92E+05,1.41E+05,51638,20565,6033,3962,1295,1581,Junaid
6.54E+05,83713,28922,7485,5134,2475,1758,319,Junaid
70771,1.07E+05,18052,9622,1451,1538,749,319,Junaid
42541,29500,6075,8657,4470,2486,312,595,Junaid
28781,45257,26092,5042,8334,2139,1145,1192,Junaid
47600,25924,16429,4469,2062,1439,1199,425,Junaid
28885,11532,4441,2011,4555,1316,150,861,Junaid
17581,84615,7567,14803,14197,6338,3129,2146,Junaid
3.16E+05,1.15E+05,14911,6976,4518,6348,3978,763,Junaid
44014,10156,5797,6319,9671,6273,2167,1221,Junaid
1.32E+05,13977,8804,2600,2423,759,431,636,Junaid
1.09E+05,10480,11150,737,2222,1955,576,433,Junaid
22368,34436,12253,27612,6834,10283,3310,1322,Junaid
2.26E+05,1.41E+05,67199,28190,7177,6102,4829,1190,Junaid
27026,62507,3636,4554,2470,1766,637,460,Junaid
7904,10575,3098,3135,2370,3563,698,411,Junaid
60908,11358,6398,3985,1814,1823,603,245,Junaid
22584,23985,17111,10455,5723,3966,2413,1990,Junaid
10295,9382,6346,5064,12926,8886,2537,1245,Junaid
